id,transaction_date,quantity,project_id,project_name,project_short_code,durability,country,country_code,project_status,supplier,pathway,pathway_full
iss_1K3YDJ1BB1S0REHD,2025-08-30T21:18:58.000656+00:00,2786.33,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
iss_1K1V25P691S0BEJ0,2025-08-04T17:30:52.018476+00:00,3.52,prj_1JN6XNWDQ1S0BSN7,Range & Plains Biochar,6TMZ,OVER_TWO_HUNDRED_YEARS,United States of America,USA,VALIDATED,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage
iss_1K1GRMN4Y1S0VQWK,2025-07-31T17:31:52.530716+00:00,1349.64,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
iss_1JZB25YAD1S000SZ,2025-07-04T15:51:45.810293+00:00,1014.57,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage
iss_1JZ2M1G2B1S083RJ,2025-07-01T09:10:44.664605+00:00,709.04,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
iss_1JYSFMMG51S0RWTN,2025-06-27T20:00:38.988972+00:00,1868.15,prj_1J4P33N6W1S0RKE2,Loblolly Project,V093,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Graphyte,BiCRS,Biomass Carbon Removal and Storage
iss_1JXW6N77B1S05B02,2025-06-16T11:05:42.455463+00:00,625.64,prj_1H502CZZH1S0VMYW,Nova Scotia Mineral OAE Project,F5X7,OVER_ONE_THOUSAND_YEARS,Canada,CAN,VALIDATED,Planetary,Marine,Marine
iss_1JX27HZND1S098R4,2025-06-06T09:01:09.808788+00:00,1002.95,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage
iss_1JWH785KR1S0MRMS,2025-05-30T18:28:42.912887+00:00,1153.47,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
iss_1JTJESX391S0MQ2N,2025-05-06T09:28:34.988967+00:00,1866.65,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
iss_1JT406N8E1S0AA5N,2025-04-30T18:44:02.051068+00:00,20.12,prj_1JFA3YY9P1S0YVKR,New England WAE Project,X8KC,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,CREW Carbon,Marine,Marine
iss_1JT406N8E1S081VC,2025-04-30T18:44:01.983969+00:00,84.28,prj_1JFA3YY9P1S0YVKR,New England WAE Project,X8KC,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,CREW Carbon,Marine,Marine
iss_1JS1XMG2X1S0E4M2,2025-04-17T13:04:59.271664+00:00,93.98,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage
iss_1JS1XMG2X1S0A4QZ,2025-04-17T13:04:59.065098+00:00,498.68,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage
iss_1JQRYV5H31S0V3C9,2025-04-01T15:17:14.590003+00:00,1263.39,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
iss_1JNF2SAPF1S0PW1Q,2025-03-03T22:42:20.891568+00:00,525.91,prj_1J4P33N6W1S0RKE2,Loblolly Project,V093,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Graphyte,BiCRS,Biomass Carbon Removal and Storage
iss_1JNF2SAPF1S01V4A,2025-03-03T22:42:20.535071+00:00,751.98,prj_1J4P33N6W1S0RKE2,Loblolly Project,V093,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Graphyte,BiCRS,Biomass Carbon Removal and Storage
iss_1JN615GRZ1S0D2D2,2025-02-28T10:20:52.955863+00:00,961.42,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
iss_1JMJX2HK81S0K6A9,2025-02-21T00:03:46.981115+00:00,246.73,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage
iss_1JJWBA5841S0M3HJ,2025-01-30T19:34:23.331149+00:00,194.54,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
iss_1JJWBA5841S0Y137,2025-01-30T19:34:22.789378+00:00,187.52,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
iss_1JG6F6CG01S0P4SX,2024-12-28T11:07:32.571157+00:00,858.26,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
iss_1JG4EHW071S0QCJG,2024-12-27T16:17:51.219920+00:00,862.49,prj_1J4P33N6W1S0RKE2,Loblolly Project,V093,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Graphyte,BiCRS,Biomass Carbon Removal and Storage
iss_1JFTA2YD11S0V766,2024-12-23T17:47:23.581333+00:00,235.53,prj_1J7NQMR9V1S04P0D,Project Serra da Mantiqueira,EN4R,OVER_ONE_THOUSAND_YEARS,Brazil,BRA,VALIDATED,InPlanet,EW,Enhanced Weathering
iss_1JF7EGFQ11S0J9VK,2024-12-16T09:59:07.339807+00:00,1420.17,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
iss_1JE49SVT51S01417,2024-12-02T18:23:26.635980+00:00,2249.44,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
iss_1JC4048KE1S0XZVQ,2024-11-07T19:02:57.950078+00:00,86.93,prj_1J4P33N6W1S0RKE2,Loblolly Project,V093,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Graphyte,BiCRS,Biomass Carbon Removal and Storage
iss_1JBA48V531S0RBBJ,2024-10-28T17:55:07.102793+00:00,1193.92,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
iss_1J9C0ZMP91S03J83,2024-10-04T15:04:45.120445+00:00,852.26,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
iss_1J6FR4ZJ61S02VQQ,2024-08-29T19:00:15.164252+00:00,1240.96,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,OVER_ONE_THOUSAND_YEARS,United States of America,USA,VALIDATED,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage
