projectId,name,methodologyCode,country,countryCode,supplierName,supplierListingUrl,creditingPeriodStart,creditingPeriodEnd,generalRulesVersion,generalRulesUrl,sdgs
220156,Ekovilla 3 Ylistaro,C01000000,Finland,FI,Eco Up Oyj,,2018-10-01,2022-11-30,Puro Standard General Rules Version 2.7,https://connect.puro.earth/hubfs/General%20Rules/Puro%20Rules%20v2.7.pdf,Climate action
442197,Enhanced Rock Weathering - Smallholder farmers in India,C07000000,India,IN,Varaha ClimateAg,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/enhanced-rock-weathering-smallholder-farmers-in-india-186,2024-05-01,2029-04-30,,,Climate action
272454,EUTHENIA ENERGY CENTER,C03000000,Spain,ES,Euthenia Energy Center S.L.,,2024-03-01,2029-02-28,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
432524,"Exomad Green, Concepción",C03000000,Bolivia,BO,Exomad SRL,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/concepcion-1-51,2023-04-03,2028-04-02,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
292788,"Exomad Green, Riberalta",C03000000,Bolivia,BO,Exomad SRL,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/riberalta-119,2024-07-17,2029-07-16,Puro Standard General Rules Version 4.0,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro.earth_General-Rules_v.4.0.pdf,Climate action
307998,"Explocom 1, Lupeni",C03000000,Romania,RO,Accend AS,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/explocom-1-lupeni,2021-01-01,2025-12-31,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
226049,Farm Gai Kaisa 159,C03000000,Namibia,NA,Planboo Eco AB,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/farm-gai-kaisa-159-87,2024-01-30,2029-01-29,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
607941,Fasera Biochar Plant 1,C03000000,Australia,AU,Fasera Holdings Pty Ltd,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/fasera-biochar-plant-1-91,2022-03-01,2027-02-28,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
477900,Fasera TSB Facility 1,C06000000,Australia,AU,Fasera Holdings Pty Ltd,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/fasera-tsb-facility-1-142,2024-03-01,2029-02-28,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
619736,Four Bordet,C03000000,France,FR,Carbonapp,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/four-bordet-70,2022-10-01,2027-09-30,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
