projectId,name,methodologyCode,country,countryCode,supplierName,supplierListingUrl,creditingPeriodStart,creditingPeriodEnd,generalRulesVersion,generalRulesUrl,sdgs
798006,Novocarbo Ruhr/Tyssenkrupp,C03000000,Germany,DE,Novocarbo GmbH,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/novocarbo-ruhr-tyssenkrupp,2022-11-02,2027-11-01,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
752025,Nuntårp Gård,C03000000,Sweden,SE,BC Trading AB,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/nuntarp-gard-210,,,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
727586,OBIO Rudshøgda,C03000000,Norway,NO,Accend AS,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/obio-rudshgda,2021-01-01,2025-12-31,Puro Standard General Rules Version 3.0,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General%20Rules/Puro%20Rules%20v3.0.pdf,Climate action
631817,Orca plant,C05000000,Iceland,IS,Climeworks AG,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/orca-plant-97,2023-12-01,2028-11-30,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
753518,Oregon Biochar Solutions,C03000000,United States,US,GECA Environnement,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/oregon-biochar-solutions,2019-10-01,2024-09-30,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
916484,"Premier Forest, Newport",C03000000,United Kingdom,GB,Accend AS,,2020-07-01,2022-09-30,Puro Standard General Rules Version 2.2,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General%20Rules/Puro%20Rules%20v2.2.pdf,Climate action
569274,Pyrocal - Wellcamp,C03000000,Australia,AU,Pyrocal Pty Ltd,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/pyrocal-wellcamp,2022-01-01,2026-12-31,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
519265,Pyrocal - Whitton,C03000000,Australia,AU,Pyrocal Pty Ltd,,,,Puro Standard General Rules Version 2.2,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General%20Rules/Puro%20Rules%20v2.2.pdf,
470748,"ReGenerate Livermore Falls, LLC",C03000000,United States,US,"ReGenerate Livermore Falls, LLC",https://puro.earth/CORC-co2-removal-certificate/supplier-listing/regenerate-livermore-falls-llc-151,2024-02-09,2029-02-08,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
371935,Restoration Fuels,C03000000,United States,US,"Restoration Fuels, LLC",https://puro.earth/CORC-co2-removal-certificate/supplier-listing/restoration-fuels-60,2023-11-01,2028-10-31,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
432365,SAS OUATTITUDE,C01000000,France,FR,Carbonapp,,2021-12-01,2022-01-31,Puro Standard General Rules Version 1.4,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General%20Rules/Puro%20Rules%20v1.4.pdf,Climate action
785725,Soilfood-1-Finland,C04000000,Finland,FI,Soilfood Oy,,2021-01-01,2025-12-31,Puro Standard General Rules Version 2.7,https://connect.puro.earth/hubfs/General%20Rules/Puro%20Rules%20v2.7.pdf,Climate action
951479,Sonnenerde Pyreg 500,C03000000,Austria,AT,Sonnenerde GmbH,,2020-02-01,2023-08-31,Puro Standard General Rules Version 3.0,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General%20Rules/Puro%20Rules%20v3.0.pdf,Climate action
955988,Sonnenerde PyroDry,C03000000,Austria,AT,Sonnenerde GmbH,,2023-09-01,2024-03-31,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
242171,"Sylva Fertilis, Argentan, FR",C03000000,France,FR,Accend AS,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/sylva-fertilis-argentan-fr,2021-02-01,2026-01-31,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
641179,Termowood - Hurdal,C01000000,Norway,NO,Accend AS,,2019-04-01,2024-03-31,Puro Standard General Rules Version 1.4,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General%20Rules/Puro%20Rules%20v1.4.pdf,Climate action
705515,Tierra Prieta - Parras,C03000000,Mexico,MX,"Carbon Removal Solutions, Inc (dba Tierra Prieta)",,2023-06-01,2028-05-31,Puro Standard General Rules Version 4.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Final General Rules Version 4.1 .pdf,Climate action
816220,Truecoco Ghana Ltd,C03000000,Ghana,GH,Truecoco Ghana Ltd,,2025-04-01,2030-03-31,Puro Standard General Rules Version 4.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Final General Rules Version 4.1 .pdf,Climate action
980845,USA,C03000000,United States,US,Himalayan Sustainable Energy Solutions Pvt. Ltd. (dba Takachar),https://puro.earth/CORC-co2-removal-certificate/supplier-listing/usa-184,2023-11-01,2028-10-31,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
472483,V-Grid (c/o South Corner Dairy),C03000000,United States,US,V-Grid Energy Systems,,2021-03-24,2026-03-23,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
672804,V-Grid Energy Systems,C03000000,United States,US,V-Grid Energy Systems,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/v-grid-energy-systems-46,2021-03-24,2026-03-23,Puro Standard General Rules Version 2.4.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General%20Rules/Puro%20Rules%20v2.4.pdf,Climate action
301704,Varaha Corn Seed Facility 1 : Pooling ID 301704,C03000000,India,IN,Varaha ClimateAg,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/nsl-corn-seed-drying-facility-98,2023-02-09,2028-02-08,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
407851,Varaha Corn Seed Facility 2 : Pooling ID 301704,C03000000,India,IN,Varaha ClimateAg,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/varaha-corn-seed-facility-2-pooling-id-301704-175,2025-02-08,2030-02-07,Puro Standard General Rules Version 4.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Final General Rules Version 4.1 .pdf,Climate action
654470,Wakefield Biochar Facility 1,C03000000,United States,US,Accend AS,,2021-01-01,2023-05-31,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
244045,Wakefield Biochar Facility 2,C03000000,United States,US,Accend AS,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/wakefield-biochar-facility-2-68,2021-01-01,2025-12-31,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
939902,Wakefield Biochar Facility 3,C03000000,United States,US,Accend AS,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/wakefield-biochar-facility-3-69,2023-06-01,2028-05-31,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
452184,Walsenburg Facility,C06000000,United States,US,Wood Cache PBC,https://puro.earth/CORC-co2-removal-certificate/supplier-listing/walsenburg-facility-84,2023-08-30,2028-08-29,Puro Standard General Rules Version 3.1,https://7518557.fs1.hubspotusercontent-na1.net/hubfs/7518557/General Rules/Puro Standard General Rules v3.1.pdf,Climate action
