id,transaction_date,quantity,project_id,project_name,project_short_code,supplier,pathway,pathway_full,retired_by,beneficiary,purposes,notes
ret_1JJZKN5EN1S0T4P8,2025-02-01T01:57:55.343437+00:00,7.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Workday,Workday,PUBLIC_ENVIRONMENTAL_CLAIMS,
ret_1JJZ9A8KV1S04R8S,2025-01-31T22:57:12.451179+00:00,23.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,JPMorganChase,JPMorganChase,CORPORATE_TARGETS,
ret_1JGZ5A2F41S0Y2KK,2025-01-07T01:15:48.099965+00:00,9.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Workday,Workday,PUBLIC_ENVIRONMENTAL_CLAIMS,
ret_1JGYRS4X91S0PRW9,2025-01-06T21:36:50.643738+00:00,1.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Watershed,Skyscanner Limited,"OTHER, CORPORATE_TARGETS, PUBLIC_ENVIRONMENTAL_CLAIMS",Retirement of environmental credits on behalf of Skyscanner Limited.
ret_1JGPXT3FF1S0JS06,2025-01-03T20:30:49.397746+00:00,300.0,prj_1J4P33N6W1S0RKE2,Loblolly Project,V093,Graphyte,BiCRS,Biomass Carbon Removal and Storage,Harvard Management Company,Harvard Management Company,CORPORATE_TARGETS,
ret_1JGPE76G81S0BF8W,2025-01-03T15:58:21.251727+00:00,29.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Autodesk,Autodesk,CORPORATE_TARGETS,
ret_1JGMDCZGD1S0PKKW,2025-01-02T21:05:33.371568+00:00,11.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Watershed,Samsara Inc.,"CORPORATE_TARGETS, PUBLIC_ENVIRONMENTAL_CLAIMS",Retirement of environmental credits on behalf of Samsara Inc.
ret_1JGEE5WSD1S0DJAR,2024-12-31T13:23:43.142093+00:00,188.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Shopify,Shopify,CORPORATE_TARGETS,
ret_1JGEE48DX1S068KE,2024-12-31T13:22:49.849353+00:00,1500.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Shopify,Shopify,CORPORATE_TARGETS,
ret_1JG8AN45F1S0K4G8,2024-12-29T04:26:41.490108+00:00,33.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,JPMorganChase,JPMorganChase,CORPORATE_TARGETS,
