id,transaction_date,quantity,project_id,project_name,project_short_code,supplier,pathway,pathway_full,retired_by,beneficiary,purposes,notes
ret_1K6K4A7N11S0PS16,2025-10-02T18:52:51.816220+00:00,1.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,Patch,Versa,OTHER,"On behalf of Versa, formerly Bend and their end users."
ret_1K6K3BQDV1S0973G,2025-10-02T18:36:12.169998+00:00,2.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,Patch,CarbonCure Technologies Inc.,CORPORATE_TARGETS,
ret_1K6K2Y82M1S0V4DB,2025-10-02T18:28:50.461194+00:00,1.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,Patch,Princeville Capital,CORPORATE_TARGETS,
ret_1K6K2PVEH1S05QZW,2025-10-02T18:24:48.148888+00:00,22.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,Patch,Coatue,CORPORATE_TARGETS,
ret_1K6K2BXNT1S0FNHH,2025-10-02T18:18:49.967512+00:00,1.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,Patch,Future Energy Ventures Management GmbH,CORPORATE_TARGETS,
ret_1K6JZKBZ31S0982R,2025-10-02T17:30:28.229883+00:00,60.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,Harvard Management Company,Harvard Management Company,CORPORATE_TARGETS,
ret_1K6GS1DN71S04P2S,2025-10-01T20:57:19.854437+00:00,1.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Stripe,Minus GmbH,OTHER,https://stripe.com/climate/orders
ret_1K6FYPDT61S0C3AY,2025-10-01T13:16:56.565166+00:00,49.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Autodesk,Autodesk,CORPORATE_TARGETS,
ret_1K6EHBY8W1S084E3,2025-10-01T00:04:47.051012+00:00,940.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Shopify,Shopify,CORPORATE_TARGETS,
ret_1K6EDW4YK1S08ANR,2025-09-30T23:03:43.953872+00:00,269.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,JPMorganChase,JPMorganChase,CORPORATE_TARGETS,
ret_1K6DMPR811S0KJHK,2025-09-30T15:43:52.665029+00:00,50.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,JPMorganChase,JPMorganChase,CORPORATE_TARGETS,
ret_1K6DMP5TV1S04Z2Z,2025-09-30T15:43:33.808280+00:00,265.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,JPMorganChase,JPMorganChase,CORPORATE_TARGETS,
ret_1K6DJ436S1S05AK1,2025-09-30T14:58:44.088158+00:00,201.0,prj_1H502CZZH1S0VMYW,Nova Scotia Mineral OAE Project,F5X7,Planetary,Marine,Marine,Shopify,Shopify,CORPORATE_TARGETS,
ret_1K5HKW9CJ1S046YA,2025-09-19T18:30:41.335886+00:00,27.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Autodesk,Autodesk,CORPORATE_TARGETS,
ret_1K5EYJV0M1S0PK3V,2025-09-18T17:40:02.747825+00:00,12.0,prj_1JFA3YY9P1S0YVKR,New England WAE Project,X8KC,CREW Carbon,Marine,Marine,Shopify,Shopify,CORPORATE_TARGETS,
ret_1K5EY73071S02Y86,2025-09-18T17:33:37.712477+00:00,622.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,Shopify,Shopify,CORPORATE_TARGETS,
ret_1K5ETJ0NH1S0EE38,2025-09-18T16:29:41.507639+00:00,90.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Rubicon Carbon,Bumble Inc.,CORPORATE_TARGETS,Retired on behalf of Bumble Inc. to address its unabated Scope 1 and 3 emissions from FY24 as part of its climate strategy.
ret_1K40TKAXY1S0WYJW,2025-08-31T19:45:20.857648+00:00,48.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Workday,Workday,PUBLIC_ENVIRONMENTAL_CLAIMS,
ret_1K40SHRYP1S07J5D,2025-08-31T19:27:01.183561+00:00,150.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,JPMorganChase,JPMorganChase,CORPORATE_TARGETS,
ret_1K2Q8Q3RG1S01B72,2025-08-15T16:23:58.519328+00:00,19.0,prj_1J4P33N6W1S0RKE2,Loblolly Project,V093,Graphyte,BiCRS,Biomass Carbon Removal and Storage,Wren,Molten Ventures,PUBLIC_ENVIRONMENTAL_CLAIMS,2024 emissions
ret_1K1YCN31Y1S0W6DX,2025-08-06T00:31:45.821936+00:00,5.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,Watershed,Samsara Inc.,"CORPORATE_TARGETS, PUBLIC_ENVIRONMENTAL_CLAIMS",Retirement of environmental credits on behalf of Samsara Inc.
ret_1K1H68RZN1S0ECYW,2025-07-31T21:30:03.178926+00:00,95.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Workday,Workday,PUBLIC_ENVIRONMENTAL_CLAIMS,
ret_1K1H0RTAX1S0XTBC,2025-07-31T19:53:57.387236+00:00,40.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Autodesk,Autodesk,CORPORATE_TARGETS,
ret_1K1GZY8G91S03X9B,2025-07-31T19:39:27.337125+00:00,223.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,JPMorganChase,JPMorganChase,CORPORATE_TARGETS,
ret_1K1BW4B5Z1S0E6RY,2025-07-29T19:56:40.038188+00:00,140.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,Harvard Management Company,Harvard Management Company,CORPORATE_TARGETS,
ret_1K07VNDWW1S0AP0T,2025-07-15T20:15:51.926940+00:00,240.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,JPMorganChase,JPMorganChase,CORPORATE_TARGETS,
ret_1K06XM7751S0EBC3,2025-07-15T11:30:54.866623+00:00,15.0,prj_1J7NQMR9V1S04P0D,Project Serra da Mantiqueira,EN4R,InPlanet,EW,Enhanced Weathering,Opna,Wise Payments Ltd,OTHER,"SALT Global Tech Ltd (""Opna"") is retiring credits on behalf of Wise Payments Ltd to offset part of their FY25 emissions footprint."
ret_1JZX5YDJA1S0SQYZ,2025-07-11T16:43:53.356857+00:00,1500.0,prj_1J4P33N6W1S0RKE2,Loblolly Project,V093,Graphyte,BiCRS,Biomass Carbon Removal and Storage,Supercritical,"BlackRock, Inc.",OTHER,"1,500 tonnes of carbon dioxide removal retired by Supercritical on behalf of BlackRock, Inc"
ret_1JZJJ9YHY1S0YFN1,2025-07-07T13:48:15.469937+00:00,0.025,prj_1J7NQMR9V1S04P0D,Project Serra da Mantiqueira,EN4R,InPlanet,EW,Enhanced Weathering,J Greenhalgh,J Greenhalgh,,
ret_1JZ0ZRH141S0RFC3,2025-06-30T17:57:04.726226+00:00,14.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Autodesk,Autodesk,CORPORATE_TARGETS,
ret_1JZ0ZDN4Y1S02XP7,2025-06-30T17:51:08.596205+00:00,75.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,JPMorganChase,JPMorganChase,CORPORATE_TARGETS,
ret_1JXPGXVGW1S0SWQB,2025-06-14T06:09:44.702122+00:00,240.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,JPMorganChase,JPMorganChase,CORPORATE_TARGETS,
ret_1JWRSD1DB1S085VN,2025-06-02T17:00:37.735693+00:00,24.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Workday,Workday,PUBLIC_ENVIRONMENTAL_CLAIMS,
ret_1JWREHWGK1S08HBQ,2025-06-02T13:51:02.214727+00:00,14.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Autodesk,Autodesk,CORPORATE_TARGETS,
ret_1JWMGENKX1S035DW,2025-06-01T01:07:16.409479+00:00,75.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,JPMorganChase,JPMorganChase,CORPORATE_TARGETS,
ret_1JVT475VX1S004R0,2025-05-21T19:13:12.810699+00:00,12.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Rubicon Carbon,GitLab Inc. ,CORPORATE_TARGETS,
ret_1JV56HA3Y1S0V98Q,2025-05-13T16:09:38.810817+00:00,100.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Rubicon Carbon,Jefferies Financial Group Inc,CORPORATE_TARGETS,"Retired to offset Jefferies' 2024 Scope 1, Scope 2 (non-electricity), and selected Scope 3 Categories"
ret_1JTK7G7N11S0Z11X,2025-05-06T16:40:12.290220+00:00,12.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Workday,Workday,PUBLIC_ENVIRONMENTAL_CLAIMS,
